filename,h2-simpless-dks-celmcut,h2-simpless-dks-cpdbshc900,h2-simpless-dks-900masb50ksccdfp,h2-simpless-oss-900masb50ksbmiasm,h2-simpless-dks-blind,h2-simpless-oss-zopdbsgenetic,h2-simpless-oss-blind,h2-simpless-dks-900masb50ksbmiasm,seq-opt-symba-1,h2-simpless-oss-masginfsccdfp,h2-simpless-dks-900masginfsccdfp,h2-simpless-oss-cpdbshc900,h2-simpless-dks-zopdbsgenetic,simpless-oss-masb50kmiasmdfp,h2-simpless-oss-900masb50ksccdfp,simpless-dks-masb50kmiasmdfp,h2-simpless-oss-celmcut,Complementary1,Complementary2,DecStar,FDMS1,FDMS2,Metis1,Metis2,Planning_PDBs,Scorpion,SymbolicBidirectional,Symple_1,Symple_2
agricola-opt18-p12.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,908.69,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1234.262,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,384.733,10000.0,10000.0
agricola-opt18-p13.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,678.236,1102.54,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,639.704,10000.0,10000.0,10000.0,10000.0,882.894,10000.0,10000.0
agricola-opt18-p14.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,953.216,10000.0,10000.0,10000.0,10000.0,713.003,10000.0,10000.0
agricola-opt18-p16.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1213.9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,651.281,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
agricola-opt18-p17.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1636.416,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p01-airport1-p1.pddl,0.23,0.22,0.28,0.32,0.24,0.27,0.22,0.28,1.08,0.25,0.25,0.23,0.26,10000.0,0.26,10000.0,0.24,1.377,2.055,0.485,0.467,0.446,0.492,0.475,1.922,200.977,0.965,1.09,1.494
airport-p02-airport1-p1.pddl,0.26,0.26,0.29,0.32,0.26,0.61,0.24,0.29,1.12,0.29,0.27,0.26,0.62,280.07,0.27,283.48,0.25,1.457,2.003,0.515,0.433,0.553,0.466,0.512,1.975,200.964,1.03,1.11,1.578
airport-p03-airport1-p2.pddl,0.28,0.34,4.65,80.31,0.29,0.53,0.27,0.63,1.65,0.41,0.41,0.34,0.6,10.97,6.56,7.38,0.27,2.065,2.278,0.502,3.663,0.705,0.51,0.537,2.183,201.443,1.365,1.901,2.229
airport-p04-airport2-p1.pddl,0.47,0.53,0.55,0.68,0.57,0.62,0.47,0.68,1.67,0.57,0.54,0.51,0.66,10000.0,0.55,10000.0,0.49,1.693,2.249,0.618,0.635,0.653,0.873,0.656,2.067,201.175,1.124,1.546,2.455
airport-p05-airport2-p1.pddl,0.58,0.61,0.65,0.75,0.56,0.86,0.58,0.74,1.75,0.66,0.64,0.56,0.86,10000.0,0.64,10000.0,0.57,1.808,2.216,0.64,0.898,0.774,0.69,0.679,2.083,201.582,1.216,1.798,2.321
airport-p06-airport2-p2.pddl,0.71,0.67,47.93,35.89,0.69,0.62,0.7,2.84,3.02,1.69,1.66,0.77,0.78,10000.0,62.8,10000.0,0.68,2.794,12.062,0.808,34.574,2.221,0.814,0.799,2.659,201.972,1.761,8.572,8.303
airport-p07-airport2-p2.pddl,0.68,0.76,40.38,30.62,0.66,0.73,0.67,2.78,2.99,1.65,1.6,0.75,0.71,10000.0,64.94,10000.0,0.71,2.72,2.726,0.74,33.942,2.371,0.825,0.807,2.555,201.956,1.817,8.633,8.533
airport-p08-airport2-p3.pddl,0.97,1.3,41.05,737.87,1.0,1.02,1.01,7.83,4.12,4.17,4.15,1.17,1.05,10000.0,40.54,10000.0,0.97,4.363,3.535,1.062,24.14,7.362,1.273,1.071,3.667,202.531,2.804,128.252,137.03300000000002
airport-p09-airport2-p4.pddl,1.22,1.72,53.18,904.28,1.38,1.42,1.31,46.53,5.2,7.08,7.34,1.73,1.35,10000.0,60.01,10000.0,1.22,5.855,4.959,1.21,42.847,49.732,1.209,1.244,4.934,240.802,3.673,524.4,526.654
airport-p10-airport3-p1.pddl,0.53,0.61,0.61,0.68,0.56,0.6,0.54,0.68,1.63,0.57,0.61,0.58,0.55,10000.0,0.6,10000.0,0.56,1.712,2.455,0.641,0.805,0.689,0.665,0.712,2.086,201.38,1.211,1.58,2.023
airport-p11-airport3-p1.pddl,0.69,0.65,0.75,0.8,0.62,0.96,0.62,0.82,1.84,0.75,0.78,0.69,0.91,10000.0,0.76,10000.0,0.63,1.833,2.423,0.754,0.676,1.047,0.714,0.761,2.195,201.395,1.372,1.833,2.421
airport-p12-airport3-p2.pddl,0.83,0.84,15.26,7.42,0.78,0.8,0.81,2.78,3.04,1.61,1.59,0.91,0.8,10000.0,25.46,10000.0,0.81,2.838,2.968,0.859,11.241,2.05,0.891,1.16,2.829,201.927,1.858,7.331,9.3
airport-p13-airport3-p2.pddl,0.85,0.9,15.84,13.81,0.76,0.79,0.77,2.25,2.97,1.42,1.44,0.83,0.78,10000.0,24.46,10000.0,0.77,2.672,2.825,0.759,13.16,1.979,0.939,0.879,2.698,201.902,1.745,7.294,7.713
airport-p14-airport3-p3.pddl,1.11,1.37,34.76,616.06,1.14,1.19,1.12,8.31,4.52,4.23,4.26,1.33,1.2,10000.0,34.8,10000.0,1.13,4.2,3.965,1.049,24.337,6.802,1.087,1.075,3.672,202.595,2.835,141.706,142.601
airport-p15-airport3-p3.pddl,1.12,1.28,24.8,600.27,1.26,1.15,1.11,8.74,4.32,3.92,3.85,1.28,1.19,10000.0,31.29,10000.0,1.17,4.49,3.893,1.188,21.026,5.93,1.109,1.162,3.645,202.636,2.896,112.72200000000001,128.286
airport-p16-airport3-p4.pddl,1.53,2.29,96.67,906.73,2.29,2.4,2.15,20.84,7.12,9.38,10.13,2.28,2.64,10000.0,104.33,10000.0,1.62,8.142,7.384,1.578,63.801,20.268,1.496,1.421,8.288,204.97899999999998,6.177,1727.974,1774.0720000000001
airport-p17-airport3-p5.pddl,2.47,3.68,119.81,908.13,4.29,4.47,4.37,96.87,10.49,17.69,19.01,3.61,4.5,10000.0,115.13,10000.0,2.57,10.824,10.878,2.152,93.191,94.62700000000001,2.128,1.916,11.182,307.827,9.449,10000.0,10000.0
airport-p18-airport3-p6.pddl,7.73,8.08,171.58,951.21,37.54,37.97,35.83,184.09,64.86,74.56,77.54,8.36,38.86,10000.0,174.42,10000.0,7.3,132.011,123.519,3.75,105.39699999999999,138.709,6.13,2.436,117.75800000000001,219.939,153.867,10000.0,10000.0
airport-p19-airport3-p6.pddl,3.4,4.36,144.39,919.71,3.62,3.77,3.56,47.41,9.31,20.15,19.91,4.1,3.6,10000.0,127.79,10000.0,3.25,12.604,13.143,2.356,92.63,46.894,3.001,1.979,13.759,216.536,10.955,10000.0,10000.0
airport-p20-airport3-p7.pddl,16.61,18.2,225.87,983.84,61.62,65.13,61.27,262.45,60.1,121.2,120.16,18.31,65.49,10000.0,234.79,10000.0,16.78,230.162,1018.674,5.449,150.969,266.353,15.024,2.592,1277.001,233.882,570.407,10000.0,10000.0
airport-p21-airport4halfMUC-p2.pddl,11.48,10.24,354.89,946.32,11.77,10.38,9.48,282.96,21.87,149.9,153.43,9.94,9.74,10000.0,347.96,10000.0,10.15,21.893,20.267,7.178,233.942,406.613,8.111,8.165,19.075,258.255,14.113,875.488,866.139
airport-p22-airport4halfMUC-p3.pddl,17.11,27.97,926.98,941.06,27.77,20.31,21.41,937.95,44.47,453.61,470.51,19.11,21.17,10000.0,869.07,10000.0,16.92,460.584,211.09,15.474,601.797,928.425,16.495,15.707,212.452,340.521,56.394,10000.0,10000.0
airport-p23-airport4halfMUC-p4.pddl,28.57,42.16,1100.03,1076.6,252.39,172.8,252.66,1072.61,397.65,1073.35,1075.81,35.86,158.2,10000.0,1106.88,10000.0,28.69,599.859,639.769,24.857,1070.084,1043.192,26.961,26.354,718.851,461.61,1686.115,10000.0,10000.0
airport-p24-airport4halfMUC-p4.pddl,34.03,74.14,1469.62,1499.84,872.41,145.55,873.95,1461.68,964.99,1456.25,1475.26,76.36,148.74,10000.0,1542.05,10000.0,36.33,864.983,797.992,33.818,1394.126,1345.468,32.543,29.605,844.917,439.508,10000.0,10000.0,10000.0
airport-p25-airport4halfMUC-p5.pddl,1671.91,528.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,538.26,10000.0,10000.0,10000.0,10000.0,1761.84,10000.0,10000.0,64.789,10000.0,10000.0,1262.865,48.277,10000.0,779.15,10000.0,10000.0,10000.0
airport-p26-airport4halfMUC-p6.pddl,120.26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,100.96,10000.0,10000.0,82.261,10000.0,10000.0,80.291,66.588,10000.0,862.022,10000.0,10000.0,10000.0
airport-p27-airport4halfMUC-p6.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1019.731,10000.0,10000.0,10000.0,69.366,10000.0,1209.46,10000.0,10000.0,10000.0
airport-p28-airport4halfMUC-p7.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,125.43299999999999,10000.0,1630.238,10000.0,10000.0,10000.0
airport-p29-airport4halfMUC-p8.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,173.285,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p30-airport4halfMUC-p8.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1135.582,10000.0,10000.0,10000.0,170.992,10000.0,1653.012,10000.0,10000.0,10000.0
airport-p31-airport4halfMUC-p9.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,235.36,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p32-airport4halfMUC-p10.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,311.725,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p33-airport4halfMUC-p10.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,236.03300000000002,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p34-airport4halfMUC-p11.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,359.527,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p35-airport4halfMUC-p12.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,391.16700000000003,10000.0,10000.0,10000.0,10000.0,10000.0
airport-p36-airport5MUC-p2.pddl,24.49,42.88,930.04,955.74,35.7,29.15,25.97,934.97,82.08,930.51,943.12,38.21,25.53,10000.0,927.75,10000.0,29.48,414.153,591.322,21.21,925.902,924.248,20.4,23.133,603.681,292.382,66.906,10000.0,10000.0
airport-p37-airport5MUC-p3.pddl,180.56,141.54,1116.4,1111.1,382.55,86.82,343.54,1092.97,462.31,1077.21,1121.45,147.21,80.86,10000.0,1092.14,10000.0,176.04,896.762,581.583,127.954,1051.169,1048.026,135.438,135.156,891.46,413.601,10000.0,10000.0,10000.0
airport-p38-airport5MUC-p3.pddl,188.44,141.06,1079.19,1066.9,333.9,108.59,339.21,1076.17,405.38,1083.88,1101.42,126.87,86.4,10000.0,1079.8,10000.0,196.32,771.636,991.754,161.94,1041.954,1028.176,146.714,154.735,1037.489,424.668,10000.0,10000.0,10000.0
airport-p39-airport5MUC-p4.pddl,10000.0,698.92,10000.0,10000.0,10000.0,1003.42,10000.0,10000.0,10000.0,10000.0,10000.0,704.87,1105.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,577.404,10000.0,10000.0,10000.0,10000.0,10000.0,676.025,10000.0,10000.0,10000.0
airport-p40-airport5MUC-p4.pddl,10000.0,564.08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,569.05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,684.38,10000.0,10000.0,10000.0,10000.0,1337.715,742.919,10000.0,10000.0,10000.0
airport-p41-airport5MUC-p4.pddl,10000.0,343.4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,341.68,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1204.006,10000.0,10000.0,10000.0,10000.0,10000.0,1156.067,569.209,10000.0,10000.0,10000.0
airport-p42-airport5MUC-p5.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1094.104,10000.0,10000.0,10000.0
airport-p43-airport5MUC-p5.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,842.128,10000.0,10000.0,10000.0
airport-p44-airport5MUC-p5.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1614.965,10000.0,10000.0,10000.0
airport-p46-airport5MUC-p6.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1459.795,10000.0,10000.0,10000.0
barman-opt11-strips-pfile01-001.pddl,19.52,33.25,30.19,648.52,7.36,5.93,6.48,14.13,8.66,8.28,9.14,31.93,7.26,34.09,25.23,16.35,19.55,48.339,41.028,18.336,19.869,221.05599999999998,18.079,21.193,45.629,242.297,8.841,908.15,962.426
barman-opt11-strips-pfile01-002.pddl,46.28,21.73,47.69,925.09,16.09,16.21,16.96,19.02,6.08,19.12,18.71,20.75,15.79,31.53,33.53,16.99,49.1,27.659,18.278,50.763,26.083,259.212,45.721,53.165,18.614,225.004,5.715,1278.114,1245.169
barman-opt11-strips-pfile01-003.pddl,48.64,20.37,35.98,945.63,16.7,16.24,16.93,20.76,6.78,19.44,17.94,20.38,15.15,32.47,35.43,17.47,49.3,21.853,26.323,51.155,27.396,254.97,45.812,66.413,27.933,234.1,7.089,694.9110000000001,673.434
barman-opt11-strips-pfile01-004.pddl,49.14,21.34,42.26,981.43,16.4,15.57,16.84,19.46,6.26,19.19,19.19,21.36,16.84,32.34,33.69,17.84,49.21,33.08,17.095,46.601,27.977,266.76800000000003,45.884,53.111,18.377,226.992,4.885,599.979,653.89
barman-opt11-strips-pfile02-005.pddl,460.97,255.32,325.74,886.5,234.26,225.33,224.2,225.71,67.37,246.16,265.95,221.87,233.93,99.7,264.43,77.98,466.05,1161.087,250.83,10000.0,248.179,803.138,413.604,487.569,224.096,1193.786,89.531,10000.0,10000.0
barman-opt11-strips-pfile02-006.pddl,479.69,298.46,299.98,846.55,253.94,230.51,239.07,245.13,62.19,248.4,278.66,260.76,244.61,105.04,280.25,79.64,502.84,1128.708,922.466,10000.0,232.902,827.227,467.954,493.396,919.031,1499.036,138.27100000000002,10000.0,10000.0
barman-opt11-strips-pfile02-007.pddl,666.76,388.26,394.43,953.59,335.17,325.77,330.02,322.23,79.93,358.7,368.51,363.39,330.56,123.31,403.56,97.83,694.09,1156.849,908.071,10000.0,314.921,925.426,677.863,714.366,906.1,1339.59,130.851,10000.0,10000.0
barman-opt11-strips-pfile02-008.pddl,444.78,273.23,308.16,798.33,247.92,213.3,214.99,233.93,77.84,236.38,266.91,230.34,236.84,98.04,263.85,76.97,457.02,1169.261,930.932,10000.0,250.522,840.815,439.163,461.646,919.264,1556.058,146.648,10000.0,10000.0
barman-opt11-strips-pfile03-009.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1082.45,10000.0,10000.0,10000.0,10000.0,514.75,10000.0,502.62,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
barman-opt11-strips-pfile03-010.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1223.17,10000.0,1310.8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
barman-opt11-strips-pfile03-011.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,877.3,10000.0,10000.0,10000.0,10000.0,522.74,10000.0,491.62,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1451.699,10000.0,10000.0
barman-opt11-strips-pfile03-012.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,654.14,10000.0,731.68,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
barman-opt14-strips-p435-1.pddl,366.34,1037.67,252.44,831.26,214.29,175.83,183.7,171.02,22.91,201.12,244.38,981.86,210.5,86.62,222.95,57.94,356.77,189.014,930.114,357.174,210.632,779.688,323.195,339.19100000000003,908.603,1030.392,75.786,10000.0,10000.0
barman-opt14-strips-p435-2.pddl,680.72,624.2,363.17,1200.0,318.9,294.62,311.7,281.25,32.52,342.68,347.41,621.57,299.32,122.01,200.94,75.07,687.42,939.65,938.421,10000.0,279.962,557.866,667.566,709.71,910.129,983.634,74.708,10000.0,10000.0
barman-opt14-strips-p435-3.pddl,351.49,1045.67,280.06,690.61,214.99,172.08,189.52,173.7,18.03,200.4,237.72,1021.97,203.7,83.38,214.76,59.99,354.63,118.63,193.59,350.783,208.362,667.234,344.991,367.992,167.893,1184.138,45.88,10000.0,10000.0
barman-opt14-strips-p536-1.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,142.41,10000.0,10000.0,10000.0,10000.0,521.62,10000.0,488.88,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,445.16,10000.0,10000.0
barman-opt14-strips-p536-2.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,322.72,10000.0,10000.0,10000.0,10000.0,521.57,10000.0,514.18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,693.507,10000.0,10000.0
barman-opt14-strips-p536-3.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,238.58,10000.0,10000.0,10000.0,10000.0,513.66,10000.0,469.84,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,558.783,10000.0,10000.0
blocks-probBLOCKS-10-0.pddl,58.47,10.37,221.29,76.79,541.84,203.48,545.6,73.3,1.83,10.92,11.59,10.54,204.41,84.03,223.83,86.8,58.92,266.309,162.535,58.568,163.767,222.773,51.133,61.703,173.847,210.206,1.773,10000.0,10000.0
blocks-probBLOCKS-10-1.pddl,8.31,2.97,184.18,57.7,488.4,107.85,502.19,62.18,1.79,3.02,3.19,2.88,107.02,63.11,162.63,63.32,8.25,178.85399999999998,121.959,8.389,134.552,159.324,7.363,8.954,132.189,205.223,1.616,10000.0,10000.0
blocks-probBLOCKS-10-2.pddl,23.48,5.14,249.03,81.87,517.42,161.66,511.12,83.46,1.81,5.71,5.59,5.1,173.76,86.33,225.98,86.47,23.6,270.459,157.335,23.633,189.363,227.16,20.469,24.631,151.697,209.057,1.702,10000.0,10000.0
blocks-probBLOCKS-11-0.pddl,22.67,2.79,9.62,54.12,10000.0,158.54,10000.0,57.04,2.64,3.2,3.1,2.82,127.64,181.0,8.55,179.06,22.26,952.518,796.237,21.267,7.706,21.004,19.251,22.476,931.126,205.10399999999998,2.703,10000.0,10000.0
blocks-probBLOCKS-11-1.pddl,26.44,4.75,12.51,77.6,10000.0,256.47,10000.0,79.28,2.77,5.24,5.17,4.67,256.24,264.75,11.9,265.82,25.75,950.801,778.224,24.284,7.989,29.112,22.63,24.121,912.744,206.07999999999998,2.811,10000.0,10000.0
blocks-probBLOCKS-11-2.pddl,18.79,1.27,12.85,32.87,10000.0,143.04,10000.0,32.32,2.68,1.6,1.55,1.35,139.23,149.63,7.51,143.57,18.79,937.817,805.167,17.792,5.99,18.433,16.307,17.685,911.444,205.573,2.27,10000.0,10000.0
blocks-probBLOCKS-12-0.pddl,28.78,6.09,17.04,388.14,10000.0,10000.0,10000.0,316.34,5.49,6.25,6.64,5.59,10000.0,420.15,14.84,430.41,28.95,954.103,766.052,27.385,13.001,35.03,24.791,28.787,927.06,205.498,5.126,10000.0,10000.0
blocks-probBLOCKS-12-1.pddl,3.41,0.6,12.59,51.2,10000.0,148.39,10000.0,45.31,3.62,0.82,0.85,0.64,143.44,81.16,8.32,78.0,3.22,948.182,748.155,3.605,8.068,30.506,10.551,3.484,906.718,204.05,3.894,10000.0,10000.0
blocks-probBLOCKS-13-0.pddl,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,51.96,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,951.934,918.249,10000.0,10000.0,10000.0,10000.0,10000.0,916.789,10000.0,40.055,10000.0,10000.0
